gene	Phi	pdiff_emp_emp	pdiff_new_emp	pdiff_emp_new	pdiff_new_new	dis_diff_emp_emp	dis_diff_new_emp	dis_diff_emp_new	dis_diff_new_new
1	YAL053W	1494.86402	0.0650176366843034	0.155555555555556	0.0423544973544974	0.0638800705467372	0.0549108072292369	0.145397581975161	0.0309533790409092	0.0462793236614239
2	YAR007C	5865.737084	0.0170267489711934	0.0337345679012346	0.0124794238683128	0.017283950617284	0.0119640402836286	0.0285303879416191	0.00660404316633474	0.0106278995531404
3	YBL015W	566.107652	0.0169171483622351	0.0592774566473988	0.0105394990366089	0.0170327552986513	0.0144766235500701	0.0567451001646024	0.00764239536814914	0.0117825534487754
4	YBL091C	13928.75091	0.046631419939577	0.126510574018127	0.0294108761329305	0.0460876132930514	0.0391825138344078	0.120535093208074	0.020638441451379	0.0336868382918622
5	YBR039W	26650.51126	NA	NA	NA	NA	NA	NA	NA	NA
6	YBR056W	1700.07472	0.167091836734694	0.263571428571429	0.121156462585034	0.160357142857143	0.144650378734085	0.243481493750952	0.0911120395003372	0.12150245480656
7	YBR070C	1369.324221	0.173611111111111	0.2640625	0.127256944444444	0.142951388888889	0.147976674349168	0.247433750561763	0.095655263950942	0.109084562542182
8	YBR110W	3138.868134	0.116384615384615	0.208346153846154	0.0862051282051282	0.118333333333333	0.0991883601416475	0.194433507804586	0.0654681955196287	0.0923883999899574
9	YBR126C	13743.03867	NA	NA	NA	NA	NA	NA	NA	NA
10	YBR162C	48210.37796	0.0479863481228669	0.133156996587031	0.033037542662116	0.0541126279863481	0.0420749553486413	0.124573440643228	0.0261400846688934	0.0413180828353167
11	YBR179C	377.34468	0.108900826446281	0.189636363636364	0.0796942148760331	0.109818181818182	0.0951859747098545	0.175862711209361	0.0616604927848632	0.0855536235333587
12	YBR198C	1030.332636	0.0224858223062382	0.0629489603024575	0.0138090737240076	0.0220604914933837	0.0193260927971432	0.0596825836692251	0.0101802252546236	0.0166744881686574
13	YCL054W	10219.29777	0.00970668485675307	0.0164529331514325	0.00748294679399727	0.00941336971350614	0.00726846549577254	0.0134588392161685	0.00489230396802883	0.00606972207660634
14	YCR017C	1660.950928	0.0290106951871658	0.10192513368984	0.0210160427807487	0.035307486631016	0.0247566170523153	0.0988633642008247	0.0158663273248772	0.0250236284069755
15	YDL006W	5089.874703	0.0178804347826087	0.038179347826087	0.0138858695652174	0.0158423913043478	0.0146601177768796	0.0361615606801409	0.0100917151176252	0.0117640202913371
16	YDL031W	4025.994633	0.0264669738863287	0.0706221198156682	0.0210061443932412	0.0291244239631336	0.0250954871000177	0.0704954976737113	0.0189657840011484	0.0243944408530708
17	YDL116W	1727.482895	0.11315415821501	0.207119675456389	0.0816937119675456	0.111409736308316	0.101101516422028	0.195856565895379	0.0655092021780598	0.0874268746473324
18	YDL126C	116494.7716	0.00459644322845417	0.0194938440492476	0.00363885088919289	0.00544459644322845	0.00402505878983944	0.01956083126763	0.00304754948826665	0.00417699086023187
19	YDL148C	8887.012368	0.124135802469136	0.21658024691358	0.0936296296296296	0.121925925925926	0.104176742856319	0.201263374263364	0.0688116318596653	0.090163719222295
20	YDL166C	14963.98933	0.10849710982659	0.231473988439306	0.069364161849711	0.101907514450867	0.0960909410254078	0.22273367182411	0.0519810746508856	0.0737702165095989
21	YDL195W	3221.58054	0.0761004784688995	0.130478468899522	0.0555861244019139	0.0692703349282297	0.0661647594904116	0.119087976224928	0.04468300522484	0.0537731960089178
22	YDL215C	1242.570391	0.0359191176470588	0.0797426470588235	0.025453431372549	0.034546568627451	0.0283693204579295	0.0728248065453067	0.0171729750269012	0.0235357836763189
23	YDL238C	NA	0.101482300884956	0.205398230088496	0.0822566371681416	0.117389380530973	0.0885577877521511	0.188980228289591	0.0662989156641293	0.0899365223772245
24	YDR021W	2160.191573	0.0474869109947644	0.160890052356021	0.0296989528795812	0.051020942408377	0.0405765029306989	0.154408670246366	0.0219304098862759	0.0369088214262214
25	YDR054C	8243.202498	NA	NA	NA	NA	NA	NA	NA	NA
26	YDR072C	2570.806038	0.0669360269360269	0.145639730639731	0.0468686868686869	0.0717340067340067	0.0617371507242857	0.136881624071982	0.0408926760037366	0.0622534262091068
27	YDR101C	13444.99934	0.0341740088105727	0.0833700440528634	0.0220264317180617	0.031057268722467	0.0316658380176074	0.0817137105248153	0.0187471321734063	0.0252072877690073
28	YDR176W	1066.571471	0.0566455696202532	0.095084388185654	0.0462447257383966	0.0614978902953587	0.0361892380774024	0.0743628455507823	0.0251232384925558	0.037629741429545
29	YDR361C	49058.20545	NA	NA	NA	NA	NA	NA	NA	NA
30	YDR443C	33.57968792	0.0637953795379538	0.114224422442244	0.046039603960396	0.0645709570957096	0.0565382074972066	0.107397112524723	0.0361778543941941	0.0503203929807377
31	YDR465C	7356.858266	0.074462962962963	0.164907407407407	0.060962962962963	0.0798333333333333	0.0539656174422988	0.143188621548316	0.0392570062698707	0.0506840684362889
32	YDR484W	549.6241495	0.0699327956989247	0.127768817204301	0.0501478494623656	0.0713575268817204	0.0605391649765671	0.121158046459879	0.0381828135096754	0.0552693940901954
33	YDR531W	7692.50659	NA	NA	NA	NA	NA	NA	NA	NA
34	YEL037C	18188.17054	0.0455639097744361	0.105225563909774	0.0344736842105263	0.0516165413533835	0.0365917276795356	0.101450790957312	0.0234118162740995	0.0353766725420452
35	YER005W	410.4831097	0.140978260869565	0.248369565217391	0.102309782608696	0.138777173913043	0.124505990363144	0.22696987437926	0.085090210891708	0.111722514721457
