gene	Phi	gPhi	pdiff_us	pdiff_wag	dis_diff_us	dis_diff_wag
1	YAL053W	1494.86402	2.30292731772983	0.220987654320988	0.545343915343915	0.163318170456566	0.493400010768139
2	YAR007C	5865.737084	1.66340769169828	0.262304526748971	0.323415637860082	0.190807756056871	0.254580517415127
3	YBL015W	566.107652	3.38497561532814	0.203660886319846	0.917398843930636	0.132265186810313	0.895597520276291
4	YBL091C	13928.75091	2.70724156789561	0.20416918429003	0.55809667673716	0.16025560027729	0.521993588857017
5	YBR039W	26650.51126	1.92796968725515	0.319153225806452	0.493790322580645	0.236127010182104	0.418241964861675
6	YBR056W	1700.07472	1.34101334918168	0.489965986394558	0.744523809523809	0.406524552247945	0.704828178387558
7	YBR070C	1369.324221	1.39660448796445	0.393402777777778	0.719652777777778	0.285768854294668	0.653982464642899
8	YBR110W	3138.868134	1.58893226599222	0.350769230769231	0.631794871794872	0.252394199407451	0.553902420255125
9	YBR126C	13743.03867	3.39227637403844	0.146324503311258	0.935927152317881	0.109909792755521	0.906624579231856
10	YBR162C	48210.37796	2.67030714909847	0.258566552901024	0.611023890784983	0.203029864501018	0.554717461701685
11	YBR179C	377.34468	1.40886834763271	0.437074380165289	0.69803305785124	0.350683237812921	0.64842692867849
12	YBR198C	1030.332636	3.25967886935385	0.193780718336484	0.541304347826087	0.152129466685256	0.505535281183564
13	YCL054W	10219.29777	4.10977260099128	0.176493860845839	0.628458390177353	0.136310574137005	0.594801893263529
14	YCR017C	1660.950928	2.09152059726338	0.15644385026738	0.556390374331551	0.116704506928593	0.524735374691841
15	YDL006W	5089.874703	3.58452305180808	0.214619565217391	0.339402173913043	0.148295479986885	0.284087003918336
16	YDL031W	4025.994633	4.07997412285426	0.204039938556068	0.547035330261137	0.157538335299521	0.517789763369998
17	YDL116W	1727.482895	1.23867358204717	0.430283975659229	0.722271805273834	0.309690349207387	0.645426291927412
18	YDL126C	116494.7716	2.93720014905838	0.0916415868673051	0.673556771545828	0.0632007482129362	0.659336639968528
19	YDL148C	8887.012368	2.62087154948313	0.316740740740741	0.548666666666667	0.254570277041857	0.489481459621395
20	YDL166C	14963.98933	2.05619453706911	0.223005780346821	0.569364161849711	0.163456223036738	0.53583351014854
21	YDL195W	3221.58054	1.37085833437183	NA	NA	NA	NA
22	YDL215C	1242.570391	2.10461969240084	0.267928921568627	0.544558823529412	0.192021173922576	0.479954085157653
23	YDL238C	NA	1.77480092141967	0.400663716814159	0.73570796460177	0.314584455202299	0.668742160793053
24	YDR021W	2160.191573	3.16784924759523	0.206465968586387	0.49717277486911	0.154499013819365	0.456709071782996
25	YDR054C	8243.202498	1.83468316490292	NA	NA	NA	NA
26	YDR072C	2570.806038	1.47236885222457	0.316464646464646	0.633299663299663	0.247503658668232	0.55751810957699
27	YDR101C	13444.99934	2.56874723644397	0.204096916299559	0.52011013215859	0.15069620967567	0.474240950943674
28	YDR176W	1066.571471	1.71529543088769	0.303544303797468	0.508902953586498	0.217308206878738	0.425264890432954
29	YDR361C	49058.20545	2.52943561239107	0.194545454545455	0.61006993006993	0.137197658883722	0.542738926723794
30	YDR443C	33.57968792	1.32711113268	0.341848184818482	0.433217821782178	0.252110796564225	0.351635624402345
31	YDR465C	7356.858266	2.21568062617138	0.197962962962963	0.58862962962963	0.132873743946861	0.520820963527069
32	YDR484W	549.6241495	1.4114839302075	0.362258064516129	0.733360215053763	0.272131158819908	0.682939897297392
33	YDR531W	7692.50659	2.30903792056824	0.197453416149068	0.609378881987578	0.146347096397251	0.515886602274073
34	YEL037C	18188.17054	2.90504376894388	0.221127819548872	0.221578947368421	0.171121268018677	0.171532305535438
35	YER005W	410.4831097	1.8584361515294	0.388913043478261	0.681684782608696	0.290102318663078	0.599407229789102
36	YER087W	367.0581143	1.56448160079253	0.466	0.731962962962963	0.383092118676656	0.677127973645963
