gene	Phi	pdiff_emp_emp	pdiff_new_emp	pdiff_emp_new	pdiff_new_new	dis_diff_emp_emp	dis_diff_new_emp	dis_diff_emp_new	dis_diff_new_new
1	YAL053W	1494.86402	0.0641887125220458	0.158403880070547	0.0421075837742504	0.0630776014109347	0.053800027918435	0.147940292639351	0.0304996228239392	0.0458878428030968
2	YAR007C	5865.737084	0.0170884773662551	0.03440329218107	0.0126646090534979	0.017037037037037	0.0115848567987884	0.0296499244977901	0.00674263748810923	0.0101241061041786
3	YBL015W	566.107652	0.0173603082851638	0.0584874759152216	0.0106840077071291	0.0165703275529865	0.0148545572544672	0.0560865854538728	0.00769939592680177	0.0113863346417727
4	YBL091C	13928.75091	0.047416918429003	0.126873111782477	0.0294712990936556	0.0481722054380665	0.0400516500657797	0.121486117371371	0.0208091629517722	0.0345546355293722
5	YBR039W	26650.51126	NA	NA	NA	NA	NA	NA	NA	NA
6	YBR056W	1700.07472	0.167670068027211	0.265765306122449	0.121632653061224	0.16	0.144214134382556	0.245397374217392	0.0908577885284389	0.12073038167123
7	YBR070C	1369.324221	0.176909722222222	0.262465277777778	0.124826388888889	0.146354166666667	0.152061498481608	0.244539421357506	0.0945838318087082	0.113014391952818
8	YBR110W	3138.868134	0.116371794871795	0.209564102564103	0.0869358974358974	0.119076923076923	0.0983096432545768	0.195313345844128	0.065834877888831	0.0926611448632809
9	YBR126C	13743.03867	NA	NA	NA	NA	NA	NA	NA	NA
10	YBR162C	48210.37796	0.047457337883959	0.132576791808874	0.0323549488054607	0.0545904436860068	0.0417245033844343	0.12268001894324	0.0257563063425304	0.0420005131118546
11	YBR179C	377.34468	0.108297520661157	0.187512396694215	0.0789752066115702	0.109909090909091	0.0940053977512065	0.174461910187016	0.0613846020610218	0.0856586398090678
12	YBR198C	1030.332636	0.0223818525519849	0.0633648393194707	0.0136767485822306	0.0222684310018904	0.0192971051868533	0.0597796973125459	0.00996550983606249	0.0162716451446473
13	YCL054W	10219.29777	0.00954297407912688	0.0164597544338336	0.00736698499317872	0.00933833560709413	0.00701753192806329	0.0133376877735596	0.00476535880996058	0.00601057563257119
14	YCR017C	1660.950928	0.0289304812834225	0.0992245989304813	0.0212433155080214	0.0352139037433155	0.0248363187284562	0.095429036134749	0.0161254748268808	0.0243156086126036
15	YDL006W	5089.874703	0.018070652173913	0.0388315217391304	0.0134239130434783	0.016195652173913	0.0149782512202305	0.0368397259133898	0.00975570894988124	0.0119900543046823
16	YDL031W	4025.994633	0.0263364055299539	0.0716973886328725	0.0208448540706605	0.0296082949308756	0.0247998949418243	0.0721001530224806	0.01880899514536	0.0250866873778705
17	YDL116W	1727.482895	0.11157200811359	0.208235294117647	0.0818559837728195	0.112312373225152	0.0993819543563913	0.197535653651546	0.0656505948668489	0.0880977744281465
18	YDL126C	116494.7716	0.00455540355677155	0.0194186046511628	0.0037140902872777	0.00529411764705882	0.00403670257777337	0.0193802145266968	0.00308696372523179	0.00414973012584292
19	YDL148C	8887.012368	0.126012345679012	0.217271604938272	0.0953703703703704	0.123740740740741	0.106065910115101	0.201937355831993	0.0704676769136862	0.0905108974744143
20	YDL166C	14963.98933	0.111560693641618	0.236849710982659	0.0684971098265896	0.104450867052023	0.100535931120349	0.227712524921234	0.0512781546954514	0.0762410104915721
21	YDL195W	3221.58054	0.0768062200956938	0.129569377990431	0.0550358851674641	0.0705622009569378	0.0673317350105259	0.118627336256718	0.0437999313631698	0.0550445752734604
22	YDL215C	1242.570391	0.03625	0.0800183823529412	0.0255085784313725	0.034828431372549	0.0287947883565642	0.0737255839406759	0.0172546895672596	0.0240240631473078
23	YDL238C	NA	0.1025	0.201880530973451	0.0826769911504425	0.116615044247788	0.0889396662109953	0.186961790472046	0.0664598224653354	0.0894660843994684
24	YDR021W	2160.191573	0.0476832460732984	0.158547120418848	0.0303403141361257	0.0506806282722513	0.0410806563079171	0.151956436091454	0.0221926341310927	0.036606845811373
25	YDR054C	8243.202498	NA	NA	NA	NA	NA	NA	NA	NA
26	YDR072C	2570.806038	0.0662457912457912	0.14493265993266	0.0459427609427609	0.0738047138047138	0.0605484569771017	0.13513063211947	0.0398936766565947	0.0630332516199442
27	YDR101C	13444.99934	0.0340308370044053	0.084284140969163	0.0214867841409692	0.031420704845815	0.0314879372190428	0.0817350944778524	0.0182051693530731	0.0259015462294968
28	YDR176W	1066.571471	0.0575105485232068	0.0932700421940928	0.0475949367088608	0.0596413502109705	0.0366382143462873	0.073601204250358	0.0257267656339775	0.0360065450058867
29	YDR361C	49058.20545	NA	NA	NA	NA	NA	NA	NA	NA
30	YDR443C	33.57968792	0.0625247524752475	0.114430693069307	0.0453630363036304	0.0645214521452145	0.0551446383633246	0.107441249047181	0.0356965696170042	0.0496368522560576
